KM INTERIOR WORK PTE LTD,,,,,,,780,,,,CODED BY SHR,,,,,,,,,,,,,,,,,,,,,
Project Name List Year 2011 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Free of Charge,,No KM Worker. Outsourcing from Sub Con,ON GONING,SUPPLY (SALES) MATERIAL / LABOUR ONLY,,,100% BILLED,,,,,,,,,,,,,,,,,,,,
,On hold,,,,Project Completed,,"* Haven’t Start Work, But Doc have been proceesing (ie:Risk Assessment . Method Of Statement MOS) ",Cancelled,Key in Software,,TENDERING,UNDER PROGRESS CLAIM ,,,,,,,,,,,,,,,,,,,,
.,,,,,CLIENT,,,,1st Half,,,,,,1st ,,,2nd,,,,,,,,,,,,,,
No.,PROJECT CODE,Times,QS PIC,SCOPE OF WORK,COMPANT NAME,CLIENT PIC,PROJECT TITLE,PROJECT COMMENCE DATE,PROJECT PIC,SITE LEADER,Started Date ,ESTIMATE COMPLETION DATE Date,ACTUAL COMPLETED DATE,Hand-over Date,A & A Work (Start),A & A Work (end),Leader,A & A Work (Start),A & A Work (end),Leader,In Charge By,Create By,project status,kinds,key in date,,A,B,,,,
1,KM 001,,,,KM INTERIOR WORK PTE LTD,,WAREHOUSE ,,KEE CHUANG HAN,CHENG SI JIE,,,,,,,,,,,MD,,,,,,,,,,,
2,KM 002,,,,KM INTERIOR WORK PTE LTD,,FACTORY ,,KEE CHUANG HAN,CHENG SI JIE,,,,,,,,,,,MD,,,,,,,,,,,
3,KM 003,,,,KM INTERIOR WORK PTE LTD,,HEAD OFFICE @ UBI TECH PARK (CANCELLED TO KM 005),,KEE CHUANG HAN,CHENG SI JIE,,,,,,,,,,,MD,,,,,,,,,,,
4,KM 004,,,,KM INTERIORS SDN BHD,,KM INTERIORS SDN BHD (MALAYSIA) ,01.01.08,KEE CHUANG HAN,CHENG SI JIE,,,,31.12.08,,,,,,,MD,,,,,,,,,,,
5,KM 005,,,,KM INTERIOR WORK PTE LTD,,KM HEAD OFFICE @ 40 KAKI BUKIT PLACE EUNOS TECHPARK ,12.10.12,BOSS (MD),,,,,,,,,,,,MD,,,,,,,,,,,
6,10057 G,,,,KINGSMEN PROJECTS PTE LTD,,TOMMY HILFIGER @ GRAND PARK HOTEL ,09.12.10,LEE KOCK HOONG,,,,14.01.11,14.01.11,,,,,,,MD,,,,,10057,G,1,,,,
7,10108 C,,,,INPRODEC PTE LTD,,TOMMY HILFIGER @ GRAND PARK HOTEL ,28.12.10,AFSAR,,,,23.01.11,23.01.11,,,,,,,MD,,,,,10108,C,1,,,,
8,10122 A,,,,TAT SENG GLASS PTE LTD,,ASIA SQUARE TOWER 1,20.05.10,LIM TECK SENG,CHAITAN,,,08.05.11,08.05.11,,,,,,,MD,,,,,10122,A,1,,,,
9,10124 P,,,,SHIMIZU CORPORATION,,HOARDING WORK @ PSA BUILDING,02.07.10,YAP CHIN HONG,,,,31.12.10,31.12.10,,,,,,,PD,,,,,10124,P,1,1,,,
10,10124 P,,,,SHIMIZU CORPORATION,,HOARDING WORK @ PSA BUILDING 460 ALEXANDRA ROAD,22.05.11,YAP CHIN HONG,,,,,19.12.11,12.03.12,,Yap,12.03.12,,,PD,,,,,10124,P,1,1,,,
11,10132 S,,,,ACME ASSOCIATES PTE LTD,,KEPPEL DIGI HUB@ NO.25 SERANGOON NORTH AVE 5,02.06.10,CALVIN TAN HEE CHYE,,,,31.12.10,31.12.10,,,,,,,MD,,,,,10132,S,1,,,,
12,10132 S,,,,ACME ASSOCIATES PTE LTD,, SGX LEVEL 4 @ KEPPEL  DIGI HUB NO.25 SERANGOON NORTH AVE 5,02.06.10,CALVIN TAN HEE CHYE,,,,31.12.10,31.12.10,,,,,,,MD,,,,,10132,S,1,,,,
13,10186 G,,,,KINGSMEN PROJECTS PTE LTD,,BROOKS BROTHERS @ GRAND PARK HOTEL,16.11.10,HIEW CHOONG SENG,,,,11.01.11,11.01.11,,,,,,,MD,,,,,10186,G,1,,,,
14,10193 T,,,,KINGSMEN EXHIBITS PTE LTD,,TIGER BEER APB,16.11.10,WILLIAM,Palaniyappan,,,07.01.11,07.01.11,,,,,,,MD,,,,,10193,T,1,,,,
15,10196 U,,,,KINGSMEN PROJECTS PTE LTD,KIM,URA BUILDING,13.09.10,SAM WONG,BILLAL,,,21.02.11,21.02.11,,,,,,,MD,,,,,10196,U,1,,,,
16,10196 U,,,,KINGSMEN PROJECTS PTE LTD,KIM,URA BUILDING,02.03.11,HALIM,,,,04.03.11,04.03.11,,,,,,,MD,,,,,10196,U,1,,,,
17,10199 C,,,,ISG ASIA (S) PTE LTD,,CREDIT SUISSE @ 1 RAFFLES LINK (phase 1),17.09.10,YAP CHIN HONG,,,,31.12.10,31.12.10,,,,,,,PD,,,,,10199,C,1,1,,,
18,10208 M,,,, ,,I-CAP @ MARINA BAY FINANCE CENTRE #LV20-21 TOWER 2,08.10.10,LEE KOCK HOONG,,,,16.02.11,16.02.11,,,,,,,PD,,,,,10208,M,1,,,,
